PERSON_ID,POSITION,HEIGHT,WEIGHT,PLAYER_NAME,PLAYER_ID,SEASON_ID,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FG%,FT%,FG3%,paint_shots_per_game,paint_fg_pct,corner_3_per_game,corner_3_pct,midrange_per_game,midrange_pct,above_break_3_per_game,above_break_3_pct,avg_shot_distance,max_shot_distance,clutch_fg_pct,games_played,total_shots,OFF_PRBALLHANDLER_FREQ,OFF_PRROLLMAN_FREQ,OFF_POSTUP_FREQ,OFF_SPOTUP_FREQ,OFF_OFFSCREEN_FREQ,OFF_CUT_FREQ,DEF_PRBALLHANDLER_FREQ,DEF_PRROLLMAN_FREQ,DEF_POSTUP_FREQ,Height_IN,PTS_per36,AST_per36,OREB_per36,DREB_per36,STL_per36,BLK_per36,TOV_per36,paint_shots_per_game_per36,corner_3_per_game_per36,midrange_per_game_per36,above_break_3_per_game_per36,Cluster
1627700,G,5-8,147,Julie Allemand,1627700,22026,26.0,2.125,4.125,0.5,2.0,0.5,0.5,0.125,2.625,2.75,3.5,1.875,0.25,1.625,1.625,5.25,0.5151515151515151,1.0,0.25,1.625,0.9230769230769232,0.25,0.0,0.5,0.25,1.75,0.2857142857142857,15.030303030303031,29.0,0.25,8.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,7.269230769230769,4.846153846153846,0.17307692307692307,3.6346153846153846,2.5961538461538463,0.34615384615384615,2.25,2.25,0.34615384615384615,0.6923076923076923,2.423076923076923,6
1642782,G,6-0,0,Sarah Ashlee Barker,1642782,22026,23.214285714285715,4.0,7.857142857142857,1.4285714285714286,3.2142857142857144,0.9285714285714286,1.2857142857142858,0.9285714285714286,3.2857142857142856,4.214285714285714,2.5,0.7857142857142857,0.2142857142857142,1.9285714285714288,2.571428571428572,10.357142857142858,0.5090909090909091,0.7222222222222222,0.4444444444444444,4.357142857142857,0.5573770491803278,0.4285714285714285,0.5,0.2857142857142857,0.5,2.642857142857143,0.4594594594594595,12.60909090909091,51.0,0.75,14.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,16.06153846153846,3.8769230769230765,1.44,5.0953846153846145,1.2184615384615383,0.33230769230769214,2.990769230769231,6.756923076923076,0.6646153846153845,0.44307692307692303,4.098461538461538,5
1628882,G,5-9,162,Lexie Brown,1628882,22026,14.9,1.2,2.6,0.9,2.0,0.5,0.6,0.1,1.2,1.3,1.1,0.5,0.1,1.0,1.3,3.8,0.4615384615384615,0.8333333333333334,0.45,0.5555555555555556,0.6,0.0,0.0,0.1111111111111111,0.0,2.2222222222222223,0.45,19.96153846153846,27.0,0.5,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,9.181208053691275,2.6577181208053693,0.24161073825503357,2.8993288590604025,1.2080536912751678,0.24161073825503357,2.4161073825503356,1.342281879194631,0.0,0.2684563758389262,5.369127516778524,6
1629524,F,6-2,177,Bridget Carleton,1629524,22026,29.307692307692307,4.461538461538462,10.615384615384617,2.230769230769231,6.384615384615385,2.1538461538461537,2.3076923076923075,0.5384615384615384,2.8461538461538463,3.3846153846153846,1.9230769230769231,1.7692307692307692,0.3076923076923077,1.3076923076923077,2.3076923076923075,13.307692307692308,0.4202898550724638,0.9333333333333332,0.3493975903614458,3.3846153846153846,0.5681818181818182,0.6923076923076923,0.2222222222222222,0.8461538461538461,0.3636363636363636,5.6923076923076925,0.3648648648648648,17.8768115942029,28.0,0.3157894736842105,13.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,16.34645669291339,2.362204724409449,0.6614173228346456,3.4960629921259847,2.173228346456693,0.37795275590551186,1.6062992125984252,4.15748031496063,0.8503937007874016,1.0393700787401574,6.992125984251969,8
1631083,F,6-1,180,Emily Engstler,1631083,22026,23.285714285714285,3.2857142857142856,7.142857142857143,1.0714285714285714,2.7857142857142856,1.4285714285714286,1.8571428571428568,1.0714285714285714,3.642857142857143,4.714285714285714,1.0714285714285714,1.3571428571428572,2.071428571428572,2.071428571428572,2.9285714285714284,9.071428571428571,0.4599999999999999,0.7692307692307693,0.3846153846153846,4.285714285714286,0.5166666666666667,0.3571428571428571,0.8,0.0714285714285714,0.0,2.357142857142857,0.3333333333333333,12.0,45.0,0.5714285714285714,14.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,14.024539877300613,1.656441717791411,1.656441717791411,5.631901840490797,2.098159509202454,3.2024539877300624,3.2024539877300624,6.625766871165644,0.5521472392638036,0.11042944785276068,3.644171779141104,7
1627701,C,6-4,180,Temi Fagbenle,1627701,22026,12.0,0.0,2.0,0.0,0.5,1.0,1.0,0.5,1.5,2.0,1.0,1.5,0.0,3.0,4.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,13.5,22.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,3.0,3.0,1.5,4.5,4.5,0.0,9.0,1.5,0.0,3.0,1.5,6
1630143,C,6-4,0,Luisa Geiselsoder,1630143,22026,19.285714285714285,1.8571428571428568,5.571428571428571,0.7142857142857143,2.857142857142857,0.7142857142857143,0.7857142857142857,0.4285714285714285,2.4285714285714284,2.857142857142857,1.5,0.4285714285714285,0.3571428571428571,1.1428571428571428,2.9285714285714284,5.142857142857143,0.3333333333333333,0.9090909090909092,0.25,2.357142857142857,0.4545454545454545,0.4285714285714285,0.1666666666666666,0.3571428571428571,0.2,2.4285714285714284,0.2647058823529412,15.26923076923077,27.0,0.5555555555555556,14.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,9.600000000000001,2.8,0.7999999999999998,4.533333333333333,0.7999999999999998,0.6666666666666666,2.1333333333333333,4.4,0.7999999999999998,0.6666666666666666,4.533333333333333,8
1629484,C,6-4,195,Megan Gustafson,1629484,22026,19.285714285714285,4.428571428571429,7.5,0.8571428571428571,2.4285714285714284,1.5,1.8571428571428568,1.0714285714285714,2.571428571428572,3.642857142857143,0.5,0.0714285714285714,0.4285714285714285,0.5,2.5,11.214285714285714,0.5904761904761905,0.8076923076923077,0.3529411764705882,4.857142857142857,0.7205882352941176,0.5,0.4285714285714285,0.2142857142857142,0.3333333333333333,1.9285714285714288,0.3333333333333333,10.066666666666666,29.0,0.5333333333333333,14.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,20.933333333333334,0.9333333333333333,2.0,4.800000000000002,0.13333333333333328,0.7999999999999998,0.9333333333333333,9.066666666666666,0.9333333333333333,0.39999999999999986,3.6000000000000005,7
204330,F,6-3,183,Isabelle Harrison,204330,22026,19.33333333333333,3.6666666666666665,7.0,0.6666666666666666,1.3333333333333333,1.0,3.0,2.0,3.0,5.0,2.333333333333333,1.6666666666666667,0.3333333333333333,0.0,4.0,9.0,0.5238095238095238,0.3333333333333333,0.5,5.333333333333333,0.5,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666,1.0,7.904761904761905,27.0,0.5,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,16.758620689655174,4.344827586206897,3.7241379310344835,5.586206896551725,3.10344827586207,0.6206896551724139,0.0,9.931034482758623,1.2413793103448278,0.6206896551724139,1.2413793103448278,0
1641650,F-G,6-1,187,Haley Jones,1641650,22026,11.6,2.0,3.4,0.0,0.6,1.2,1.6,0.4,1.8,2.2,1.0,0.4,0.0,1.2,1.8,5.2,0.5882352941176471,0.7499999999999999,0.0,3.5,0.7142857142857143,0.0,0.0,0.0,0.0,0.75,0.0,7.647058823529412,25.0,0.6,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,16.137931034482758,3.103448275862069,1.2413793103448276,5.586206896551724,1.2413793103448276,0.0,3.7241379310344827,10.862068965517242,0.0,0.0,2.3275862068965516,4
